elementId,quantity
6065496,2
4211362,1
300426,1
4211085,1
6337521,2
4525464,1
6601919,2
6066097,1
362326,1
302124,2
302023,2
4610602,1
4211045,6
4211135,2
4121934,1
366524,2
4211410,4
6101104,2
